Date,Open,High,Low,Close
19-09-2020,10933.75293,11134.09277,10909.61816,11094.34668
20-09-2020,11095.87012,11095.87012,10814.47754,10938.27148
21-09-2020,10934.92578,10988.30469,10380.26074,10462.25977
22-09-2020,10459.62402,10568.07715,10382.72656,10538.45996
23-09-2020,10535.49219,10537.82813,10197.86523,10246.18652
24-09-2020,10248.78613,10771.05664,10231.49023,10760.06641
25-09-2020,10761.10938,10777.69629,10578.91406,10692.7168
26-09-2020,10695.5752,10772.99902,10667.28125,10750.72363
27-09-2020,10746.89258,10803.97656,10622.92188,10775.26953
28-09-2020,10776.61328,10945.34766,10703.89356,10709.65234
29-09-2020,10709.65039,10860.00098,10649.49512,10844.64063
30-09-2020,10843.87109,10847.25684,10669.32129,10784.49121
01-10-2020,10795.25488,10933.62402,10472.35645,10619.45215
02-10-2020,10619.82129,10657.83789,10416.68945,10575.97461
03-10-2020,10575.10059,10598.94043,10511.12988,10549.3291
04-10-2020,10550.44043,10686,10534.3916,10669.58301
05-10-2020,10676.5293,10793.50781,10634.60059,10793.33984
06-10-2020,10796.30664,10797.57813,10528.89063,10604.40625
07-10-2020,10603.35547,10680.50781,10562.50684,10668.96875
08-10-2020,10669.37109,10945.73731,10562.60645,10915.68555
09-10-2020,10927.91309,11102.67188,10846.85059,11064.45801
10-10-2020,11059.14258,11442.21094,11056.94043,11296.36133
11-10-2020,11296.08203,11428.81348,11288.62793,11384.18164
12-10-2020,11392.63574,11698.46777,11240.68652,11555.36328
13-10-2020,11548.71973,11548.98438,11321.22461,11425.89941
14-10-2020,11429.04785,11539.97754,11307.83106,11429.50684
15-10-2020,11426.60254,11569.91406,11303.60352,11495.34961
16-10-2020,11502.82813,11540.06152,11223.0127,11322.12305
17-10-2020,11322.12305,11386.26172,11285.3457,11358.10156
18-10-2020,11355.98242,11483.35938,11347.57813,11483.35938
19-10-2020,11495.03809,11799.09277,11408.29004,11742.03711
20-10-2020,11745.97461,11999.91797,11681.48047,11916.33496
21-10-2020,11913.07715,13184.56641,11900.92871,12823.68945
22-10-2020,12801.63574,13161.59375,12717.09375,12965.8916
23-10-2020,12971.54883,13015.96191,12752.64746,12931.53906
24-10-2020,12931.57422,13145.06641,12885.74707,13108.0625
25-10-2020,13108.06348,13329.18359,12910.06152,13031.17383
26-10-2020,13031.20117,13225.29785,12822.38281,13075.24805
27-10-2020,13075.24219,13759.66895,13060.83789,13654.21875
28-10-2020,13654.21484,13837.69531,12932.25098,13271.28516
29-10-2020,13271.29883,13612.04785,12980.05957,13437.88281
30-10-2020,13437.87402,13651.5166,13136.19824,13546.52246
31-10-2020,13546.53223,14028.21387,13457.53027,13780.99512
01-11-2020,13780.99512,13862.0332,13628.37793,13737.10938
02-11-2020,13737.03223,13808.32324,13243.16016,13550.48926
03-11-2020,13550.45117,13984.98145,13325.44141,13950.30078
04-11-2020,13950.48828,14218.7666,13580.47168,14133.70703
05-11-2020,14133.7334,15706.4043,14102.08887,15579.84863
06-11-2020,15579.72949,15903.4375,15226.83984,15565.88086
07-11-2020,15565.88086,15737.0957,14423.20313,14833.75391
08-11-2020,14833.75391,15637.32031,14744.11035,15479.56738
